Name,Email ID,Phone Number,Average Time on App (Minutes/Day),Total Purchase from App (Rupees/year),Average Time on Website (Minutes/Day),Total Purchase from Website (Rupees/year),Length of Membership (Year),Yearly Amount Spent (Minutes/year),Total Purchase of each customer (Rupees/year),Ratings given by customer (Out of 5)
Michael Stefenson,mstephenson@fernandez.com,3028039388,21.29783707,4492,11.52695319,6403,4.082620633,6564.958054,10895,4
Hershal Stark,hduke@hotmail.com,9089646263,20.86038173,2077,18.43846007,4675,2.664034182,7859.76836,6752,5
Allen Paul,pallen@yahoo.com,7071678287,25.77835856,6254,17.97303389,1640,4.104543202,8750.278491,7894,3
Rebecca Ganguly,riverarebecca@gmail.com,3343675411,23.383813,3247,16.10107448,8091,3.120178783,7896.977495,11338,3
Stefen Potter,mstephens@davidson-herman.com,3760942236,23.77171503,7708,14.72878508,274,4.446308318,7700.100022,7982,5
Nancy Alvarez,alvareznancy@lucas.biz,8833228176,24.38395508,4529,15.64669459,3830,5.493507201,8006.129933,8359,5
Katherine Fernandez,katherine20@yahoo.com,4193536150,25.10208907,7742,18.30699659,7083,4.685017247,8681.817132,14825,5
Brian Watson,awatkins@yahoo.com,2742689018,25.18035826,6770,17.26422301,3566,4.434273435,8488.916253,10336,4
Vivian Bradley,vchurch@walter-martinez.com,6129567697,22.80041741,9877,12.19262419,574,3.273433578,6998.60832,10451,5
Ben Marvolo Riddle,bonnie69@lin.biz,5904226716,29.62464252,8193,16.532276,3514,3.202806072,9231.383704,11707,5
Andrew Warner,andrew06@peterson.com,8853753594,25.95021271,9452,18.64535492,2248,2.482607771,8919.113525,11700,5
Ryan Warner,ryanwerner@freeman.biz,8519416188,27.60789808,475,17.64804711,8400,3.713209203,9051.189037,8875,4
Nelson Potter,knelson@gmail.com,7918610360,20.85679502,4908,11.03208975,3935,4.046423164,6377.776955,8843,3
Peter Wright,wrightpeter@yahoo.com,8324960249,29.81478111,4812,19.11634093,6283,3.918541839,9786.224407,11095,3
Taylor Stark,taylormason@gmail.com,3588266676,25.09950544,1377,15.03275336,3210,2.494543647,8026.45176,4587,5
Jennifer Stark,jstark@anderson.com,3617346093,23.96529008,8169,13.84136935,9508,3.357846842,7561.331885,17677,3
Jennifer Wright,wjennings@gmail.com,5849106729,24.23814835,6134,18.03541093,9035,3.136132716,8454.711856,15169,5
Rebecca Das,rebecca45@hale-bauer.biz,9643630247,25.09542896,6523,11.85021627,1801,2.420806161,7389.129046,8324,5
Alexandro D'Souza,alejandro75@hotmail.com,1841486834,27.84434558,5853,16.58042879,9177,1.516575581,8884.954873,15030,3
Samuel Tennyson,samuel46@love-west.net,6479249799,21.90400332,5284,16.25074188,7590,4.06454855,7630.949042,12874,3
Megan Fox,megan33@gmail.com,9663889196,23.66496604,937,12.47303749,4015,4.599937358,7227.600705,4952,4
Ryan Leite,agolden@yahoo.com,6781804292,22.58180419,1055,16.60002795,8846,1.55915194,7836.366427,9901,4
Vivian Stafford,vstafford@hotmail.com,9223872428,21.38584459,6362,11.87786247,4801,2.245147787,6652.741412,11163,4
